,number,state,value,datetime_start,datetime_complete,params,params,params,user_attrs,system_attrs,system_attrs
31,31,TrialState.COMPLETE,0.8554821117626439,2020-01-05 22:03:35.537979,2020-01-05 22:03:36.094128,0.25144636631962675,liblinear,LogisticRegression,0.8554821117626439,31,
32,32,TrialState.FAIL,,2020-01-05 22:03:36.531572,2020-01-05 22:03:36.993463,1.9964405658857995,newton-cg,LogisticRegression,,32,Setting status of trial#32 as TrialState.FAIL because the objective function returned nan.
33,33,TrialState.COMPLETE,0.8562858505987159,2020-01-05 22:03:36.532726,2020-01-05 22:03:37.191090,0.37137942322000694,liblinear,LogisticRegression,0.8562858505987159,33,
34,34,TrialState.FAIL,,2020-01-05 22:03:36.534547,2020-01-05 22:03:36.994712,0.6291022677960844,newton-cg,LogisticRegression,,34,Setting status of trial#34 as TrialState.FAIL because the objective function returned nan.
35,35,TrialState.FAIL,,2020-01-05 22:03:36.536714,2020-01-05 22:03:36.711207,1.4516327432968117,lbfgs,LogisticRegression,,35,Setting status of trial#35 as TrialState.FAIL because the objective function returned nan.
36,36,TrialState.FAIL,,2020-01-05 22:03:37.531678,2020-01-05 22:03:37.699020,1.9814093217719468,newton-cg,LogisticRegression,,36,Setting status of trial#36 as TrialState.FAIL because the objective function returned nan.
37,37,TrialState.FAIL,,2020-01-05 22:03:37.534095,2020-01-05 22:03:37.839412,3.312217353612198,newton-cg,LogisticRegression,,37,Setting status of trial#37 as TrialState.FAIL because the objective function returned nan.
38,38,TrialState.COMPLETE,0.8559678212946709,2020-01-05 22:03:37.536840,2020-01-05 22:03:38.184101,4.935912512350346,liblinear,LogisticRegression,0.8559678212946709,38,
39,39,TrialState.FAIL,,2020-01-05 22:03:37.538278,2020-01-05 22:03:37.982843,3.812894292597802,lbfgs,LogisticRegression,,39,Setting status of trial#39 as TrialState.FAIL because the objective function returned nan.
40,40,TrialState.FAIL,,2020-01-05 22:03:38.532486,2020-01-05 22:03:38.709779,2.0125808754391454,newton-cg,LogisticRegression,,40,Setting status of trial#40 as TrialState.FAIL because the objective function returned nan.
41,41,TrialState.COMPLETE,0.855883081738334,2020-01-05 22:03:38.534939,2020-01-05 22:03:39.067304,0.2889746468759545,liblinear,LogisticRegression,0.855883081738334,41,
42,42,TrialState.FAIL,,2020-01-05 22:03:38.536848,2020-01-05 22:03:38.872340,0.49247098133493383,newton-cg,LogisticRegression,,42,Setting status of trial#42 as TrialState.FAIL because the objective function returned nan.
43,43,TrialState.COMPLETE,0.8563411751907493,2020-01-05 22:03:38.538211,2020-01-05 22:03:39.205345,0.6484031319322752,liblinear,LogisticRegression,0.8563411751907493,43,
44,44,TrialState.FAIL,,2020-01-05 22:03:39.532950,2020-01-05 22:03:39.904996,0.1860344664287383,newton-cg,LogisticRegression,,44,Setting status of trial#44 as TrialState.FAIL because the objective function returned nan.
45,45,TrialState.COMPLETE,0.8535049028495614,2020-01-05 22:03:39.535414,2020-01-05 22:03:40.216484,0.16255961865644622,liblinear,LogisticRegression,0.8535049028495614,45,
46,46,TrialState.COMPLETE,0.8561825000515491,2020-01-05 22:03:39.537052,2020-01-05 22:03:40.088960,2.9025782313612494,liblinear,LogisticRegression,0.8561825000515491,46,
47,47,TrialState.FAIL,,2020-01-05 22:03:39.538582,2020-01-05 22:03:39.728316,0.33956991133535186,lbfgs,LogisticRegression,,47,Setting status of trial#47 as TrialState.FAIL because the objective function returned nan.
48,48,TrialState.COMPLETE,0.8564752063206977,2020-01-05 22:03:40.533143,2020-01-05 22:03:41.004378,0.9971943966684627,liblinear,LogisticRegression,0.8564752063206977,48,
49,49,TrialState.COMPLETE,0.8561551328295035,2020-01-05 22:03:40.534599,2020-01-05 22:03:40.860714,3.3628190201385486,liblinear,LogisticRegression,0.8561551328295035,49,
